Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1051,7,7184,1026.3
1052,7,7244,1034.9
1053,7,7232,1033.1
1054,8,7310,913.8
1055,8,7299,912.4
1056,8,7318,914.8
1057,9,7332,814.7
1058,6,7115,1185.8
1059,6,7102,1183.7
1060,8,7308,913.5
1061,7,7164,1023.4
1062,7,7186,1026.6
1063,7,7219,1031.3
1064,7,7184,1026.3
1065,7,7145,1020.7
1066,9,7269,807.7
1067,8,7271,908.9
1068,9,7328,814.2
1069,7,7204,1029.1
1070,7,7220,1031.4
1071,7,7234,1033.4
1072,6,7112,1185.3
1073,8,7287,910.9
1074,8,7296,912.0
1075,7,7128,1018.3
1076,7,7143,1020.4
1077,7,7168,1024.0
1078,8,7309,913.6
1079,9,7314,812.7
1080,7,7161,1023.0
1081,8,7129,891.1
1082,7,7050,1007.1
1083,8,7066,883.2
1084,7,7072,1010.3
1085,7,7028,1004.0
1086,8,7086,885.8
1087,7,6937,991.0
1088,8,7068,883.5
1089,8,7106,888.2
1090,8,7021,877.6
1091,8,6996,874.5
1092,8,6951,868.9
1093,8,6949,868.6
1094,8,6952,869.0
1095,7,6724,960.6
1096,7,6794,970.6
1097,8,7182,897.8
1098,7,6831,975.9
1099,8,6915,864.4
1100,8,6911,863.9
1101,9,7277,808.6
1102,9,7261,806.8
1103,8,7198,899.8
1104,8,7189,898.6
1105,8,7194,899.2
1106,9,7291,810.1
1107,8,7138,892.2
1108,9,7273,808.1
1109,9,7338,815.3
1110,10,7347,734.7
1111,10,7339,733.9
1112,9,7312,812.4
1113,9,7295,810.6
1114,9,7337,815.2
1115,8,7194,899.2
1116,9,7249,805.4
1117,8,7225,903.1
1118,9,7241,804.6
1119,10,7291,729.1
1120,10,7262,726.2
1121,10,7237,723.7
1122,11,7263,660.3
1123,11,7270,660.9
1124,10,7228,722.8
1125,10,7252,725.2
1126,9,7154,794.9
1127,10,7260,726.0
1128,9,7171,796.8
1129,11,7271,661.0
1130,9,7113,790.3
1131,10,7182,718.2
1132,9,7144,793.8
1133,9,7155,795.0
1134,8,6757,844.6
1135,9,7174,797.1
1136,9,7133,792.6
1137,8,7084,885.5
1138,9,7176,797.3
1139,9,7110,790.0
1140,9,7130,792.2
1141,8,7085,885.6
1142,10,7239,723.9
1143,9,7098,788.7
1144,11,7316,665.1
1145,8,7020,877.5
1146,9,7084,787.1
1147,8,6878,859.8
1148,7,6815,973.6
1149,8,6868,858.5
1150,8,6878,859.8
1151,8,7049,881.1
1152,8,7072,884.0
1153,8,7098,887.2
1154,7,6847,978.1
1155,8,6946,868.2
1156,8,7046,880.8
1157,10,7265,726.5
1158,11,7302,663.8
1159,9,7042,782.4
1160,10,7148,714.8
1161,10,7211,721.1
1162,8,7118,889.8
1163,8,7127,890.9
1164,8,7084,885.5
1165,8,7058,882.2
1166,9,7150,794.4
1167,9,7121,791.2
1168,8,6939,867.4
1169,9,7180,797.8
1170,9,7176,797.3
1171,8,7164,895.5
1172,8,7156,894.5
1173,8,7108,888.5
1174,8,7151,893.9
1175,8,7201,900.1
1176,7,6735,962.1
1177,9,7185,798.3
1178,8,7197,899.6
1179,9,7226,802.9
1180,8,7182,897.8
1181,9,7208,800.9
1182,8,7215,901.9
1183,8,7184,898.0
1184,9,7232,803.6
1185,10,7270,727.0
1186,8,7158,894.8
1187,9,7275,808.3
1188,9,7292,810.2
1189,9,7271,807.9
1190,9,7221,802.3
1191,9,7263,807.0
1192,8,7177,897.1
1193,8,6757,844.6
1194,8,6798,849.8
1195,9,7194,799.3
1196,9,7203,800.3
1197,9,7162,795.8
1198,8,7075,884.4
1199,11,7196,654.2
1200,9,7212,801.3
1201,9,7039,782.1
1202,9,7081,786.8
1203,10,7220,722.0
1204,11,7187,653.4
1205,10,7203,720.3
1206,9,7072,785.8
1207,11,7226,656.9
