Frame,aggregate_count,total_peptides_in_aggregate,avg_aggregate_size
940,9,5931,659.0
941,9,5872,652.4
942,9,5853,650.3
943,10,5889,588.9
944,10,5885,588.5
945,10,5886,588.6
946,10,5871,587.1
947,10,5847,584.7
948,11,5878,534.4
949,12,5936,494.7
950,9,5838,648.7
951,12,6025,502.1
952,11,5966,542.4
953,11,5849,531.7
954,11,5944,540.4
955,11,5882,534.7
956,10,5883,588.3
957,10,5898,589.8
958,10,5877,587.7
959,11,5901,536.4
960,10,5817,581.7
961,11,5843,531.2
962,12,5920,493.3
963,13,5911,454.7
964,12,5908,492.3
965,11,5864,533.1
966,11,5857,532.4
967,11,5907,537.0
968,11,5905,536.8
969,11,5914,537.6
970,11,5880,534.6
971,11,5874,534.0
972,11,5851,531.9
973,11,5817,528.8
974,11,5801,527.4
975,11,5830,530.0
976,11,5819,529.0
977,11,5815,528.6
978,11,5766,524.2
979,12,5851,487.6
980,12,5909,492.4
981,12,5887,490.6
982,11,5874,534.0
983,11,5885,535.0
984,11,5856,532.4
985,11,5841,531.0
986,11,5824,529.4
987,12,5888,490.7
988,12,5909,492.4
989,12,5861,488.4
990,12,5843,486.9
991,12,5876,489.7
992,12,5855,487.9
993,12,5879,489.9
994,12,5886,490.5
995,12,5867,488.9
996,12,5848,487.3
997,12,5850,487.5
998,12,5826,485.5
999,12,5849,487.4
1000,12,5835,486.2
1001,12,5831,485.9
1002,12,5837,486.4
1003,11,5864,533.1
1004,12,5854,487.8
1005,12,5847,487.2
1006,12,5874,489.5
1007,12,5878,489.8
1008,12,5880,490.0
1009,12,5852,487.7
1010,12,5891,490.9
1011,12,5892,491.0
1012,12,5926,493.8
1013,12,5915,492.9
1014,12,5904,492.0
1015,12,5882,490.2
1016,11,5805,527.7
1017,12,5785,482.1
1018,12,5853,487.8
1019,13,5865,451.2
1020,13,5870,451.5
1021,13,5925,455.8
1022,13,5874,451.8
1023,12,5903,491.9
1024,12,5901,491.8
1025,13,5923,455.6
1026,12,5863,488.6
1027,12,5899,491.6
1028,12,5882,490.2
1029,12,5880,490.0
1030,12,5873,489.4
1031,12,5881,490.1
1032,12,5865,488.8
1033,13,5921,455.5
1034,13,5892,453.2
1035,13,5908,454.5
1036,13,5882,452.5
1037,14,5954,425.3
1038,14,5966,426.1
1039,13,5942,457.1
1040,13,5954,458.0
1041,13,5967,459.0
1042,13,5959,458.4
1043,13,5960,458.5
1044,12,5878,489.8
1045,12,5916,493.0
1046,12,5883,490.2
1047,12,5897,491.4
1048,12,5860,488.3
1049,14,5965,426.1
1050,13,5934,456.5
1051,13,5942,457.1
1052,12,5836,486.3
1053,12,5872,489.3
1054,13,5929,456.1
1055,13,5938,456.8
1056,13,5902,454.0
1057,14,5932,423.7
1058,13,5837,449.0
1059,13,5906,454.3
1060,15,5965,397.7
1061,13,5901,453.9
1062,13,5876,452.0
1063,13,5905,454.2
1064,13,5881,452.4
1065,14,5916,422.6
1066,15,5918,394.5
1067,15,5955,397.0
1068,15,5946,396.4
1069,14,5934,423.9
1070,14,5930,423.6
1071,13,5945,457.3
1072,13,5939,456.8
1073,13,5955,458.1
1074,13,5965,458.8
1075,13,5926,455.8
1076,14,6017,429.8
1077,13,5921,455.5
1078,13,5934,456.5
1079,12,5888,490.7
1080,12,5877,489.8
1081,12,5901,491.8
1082,12,5884,490.3
1083,13,5898,453.7
1084,11,5796,526.9
1085,14,5942,424.4
1086,11,5834,530.4
1087,10,5802,580.2
1088,11,5854,532.2
1089,11,5860,532.7
1090,11,5775,525.0
1091,11,5787,526.1
1092,10,5751,575.1
1093,11,5761,523.7
1094,11,5771,524.6
1095,11,5809,528.1
1096,11,5807,527.9
1097,10,5773,577.3
1098,11,5854,532.2
1099,10,5761,576.1
1100,11,5832,530.2
1101,11,5879,534.4
1102,11,5847,531.6
1103,11,5822,529.3
1104,11,5825,529.6
1105,10,5765,576.5
1106,11,5791,526.4
1107,11,5801,527.4
1108,11,5824,529.4
1109,11,5848,531.6
1110,12,5879,489.9
1111,12,5891,490.9
1112,11,5839,530.8
1113,12,5878,489.8
1114,12,5833,486.1
1115,11,5805,527.7
1116,11,5820,529.1
1117,11,5771,524.6
1118,12,5761,480.1
1119,11,5810,528.2
1120,12,5782,481.8
1121,12,5757,479.8
1122,12,5749,479.1
1123,13,5792,445.5
1124,11,5755,523.2
1125,11,5784,525.8
1126,12,5809,484.1
1127,12,5800,483.3
1128,13,5788,445.2
1129,12,5780,481.7
1130,13,5772,444.0
1131,12,5849,487.4
1132,11,5813,528.4
1133,12,5845,487.1
1134,12,5849,487.4
1135,12,5838,486.5
1136,12,5822,485.2
1137,12,5833,486.1
1138,11,5782,525.6
1139,12,5734,477.8
1140,14,5767,411.9
1141,12,5773,481.1
1142,12,5830,485.8
1143,14,5815,415.4
1144,14,5772,412.3
1145,14,5818,415.6
1146,13,5747,442.1
1147,13,5787,445.2
1148,14,5782,413.0
1149,13,5771,443.9
1150,13,5726,440.5
1151,11,5689,517.2
1152,12,5753,479.4
1153,14,5761,411.5
1154,14,5781,412.9
1155,10,5705,570.5
1156,13,5784,444.9
1157,11,5679,516.3
1158,13,5783,444.8
1159,11,5692,517.4
1160,12,5780,481.7
1161,11,5739,521.7
1162,11,5771,524.6
1163,11,5767,524.3
1164,11,5766,524.2
1165,11,5770,524.6
1166,11,5804,527.6
1167,11,5813,528.4
1168,11,5830,530.0
1169,11,5840,530.9
1170,11,5811,528.3
1171,10,5740,574.0
1172,10,5714,571.4
1173,11,5799,527.2
1174,11,5773,524.8
1175,11,5766,524.2
1176,10,5720,572.0
1177,11,5798,527.1
1178,10,5753,575.3
1179,10,5725,572.5
1180,10,5752,575.2
1181,10,5763,576.3
1182,10,5737,573.7
1183,10,5732,573.2
1184,10,5678,567.8
1185,12,5715,476.2
1186,11,5694,517.6
1187,13,5772,444.0
1188,12,5782,481.8
1189,13,5803,446.4
1190,13,5779,444.5
1191,12,5762,480.2
1192,12,5744,478.7
1193,12,5751,479.2
1194,12,5763,480.2
1195,12,5722,476.8
1196,11,5695,517.7
1197,12,5724,477.0
1198,11,5695,517.7
1199,12,5789,482.4
1200,12,5756,479.7
1201,13,5811,447.0
1202,13,5814,447.2
1203,13,5819,447.6
1204,13,5816,447.4
1205,11,5804,527.6
1206,11,5780,525.4
1207,12,5715,476.2
1208,12,5725,477.1
1209,13,5716,439.7
1210,12,5716,476.3
1211,12,5812,484.3
1212,12,5713,476.1
1213,11,5647,513.4
1214,11,5646,513.3
1215,12,5671,472.6
1216,12,5681,473.4
1217,13,5713,439.5
1218,13,5778,444.5
1219,13,5776,444.3
1220,12,5706,475.5
1221,14,5700,407.1
1222,12,5796,483.0
1223,12,5749,479.1
1224,11,5733,521.2
1225,10,5707,570.7
1226,10,5659,565.9
1227,10,5706,570.6
1228,10,5747,574.7
1229,10,5726,572.6
1230,10,5739,573.9
1231,11,5779,525.4
1232,11,5725,520.4
