Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
813,13,5755,442.7
814,12,5418,451.5
815,12,6234,519.5
816,11,5741,521.9
817,11,5459,496.3
818,11,5705,518.6
819,9,5337,593.0
820,10,5395,539.5
821,10,5385,538.5
822,11,5315,483.2
823,12,6112,509.3
824,11,5681,516.5
825,10,5460,546.0
826,9,5293,588.1
827,10,5846,584.6
828,10,5808,580.8
829,9,5289,587.7
830,12,6101,508.4
831,12,6320,526.7
832,15,6850,456.7
833,15,6764,450.9
834,15,6864,457.6
835,13,5686,437.4
836,12,5559,463.2
837,12,5581,465.1
838,10,4425,442.5
839,10,4441,444.1
840,12,5113,426.1
841,13,5366,412.8
842,13,5322,409.4
843,11,5214,474.0
844,11,6684,607.6
845,10,6372,637.2
846,11,4732,430.2
847,12,5159,429.9
848,12,5231,435.9
849,12,5166,430.5
850,12,5114,426.2
851,11,5032,457.5
852,11,5007,455.2
853,11,4973,452.1
854,11,4182,380.2
855,9,3830,425.6
856,9,3823,424.8
857,10,4742,474.2
858,10,4666,466.6
859,10,4619,461.9
860,9,3819,424.3
861,12,3956,329.7
862,11,3874,352.2
863,11,3899,354.5
864,10,3820,382.0
865,10,3820,382.0
866,11,4948,449.8
867,10,3799,379.9
868,10,5389,538.9
869,13,5917,455.2
870,10,5545,554.5
871,10,5942,594.2
872,10,5816,581.6
873,10,5940,594.0
874,10,6007,600.7
875,9,5402,600.2
876,12,6373,531.1
877,12,6198,516.5
878,10,5520,552.0
879,9,5494,610.4
880,9,5519,613.2
881,9,5556,617.3
882,9,5617,624.1
883,10,5660,566.0
884,9,5666,629.6
885,8,5233,654.1
886,11,6924,629.5
887,11,6920,629.1
888,11,5876,534.2
889,11,5791,526.5
890,11,5584,507.6
891,9,5006,556.2
892,8,4352,544.0
893,12,5247,437.2
894,11,5276,479.6
895,11,5000,454.5
896,10,4417,441.7
897,9,4330,481.1
898,9,4366,485.1
899,10,4780,478.0
900,11,5234,475.8
901,11,5246,476.9
902,11,5170,470.0
903,10,5132,513.2
904,9,4881,542.3
905,10,4879,487.9
906,11,5279,479.9
907,10,5389,538.9
908,11,6151,559.2
909,10,5715,571.5
910,9,5566,618.4
911,11,6126,556.9
912,9,5674,630.4
913,8,5181,647.6
914,10,5340,534.0
915,8,4812,601.5
916,8,4818,602.2
917,8,5383,672.9
918,9,5644,627.1
919,9,5438,604.2
920,10,6011,601.1
921,10,6019,601.9
922,10,6047,604.7
923,10,6063,606.3
924,10,5973,597.3
925,9,5866,651.8
926,10,5897,589.7
927,10,5786,578.6
928,11,6278,570.7
929,10,5753,575.3
930,10,5780,578.0
931,11,5883,534.8
932,11,6025,547.7
933,9,5209,578.8
934,10,5430,543.0
935,10,5462,546.2
936,11,5745,522.3
937,12,6458,538.2
938,12,6512,542.7
939,11,6358,578.0
940,10,6478,647.8
941,10,6046,604.6
942,9,5397,599.7
943,11,6301,572.8
944,9,5905,656.1
945,11,6291,571.9
946,12,6483,540.2
947,10,6256,625.6
948,9,5563,618.1
949,10,6286,628.6
950,12,8761,730.1
951,11,8570,779.1
952,10,8097,809.7
953,11,8205,745.9
954,11,8240,749.1
955,11,8228,748.0
956,10,7671,767.1
957,9,7495,832.8
958,10,8057,805.7
959,10,7944,794.4
960,14,9284,663.1
961,10,8055,805.5
962,10,8130,813.0
963,10,7994,799.4
964,11,8149,740.8
965,11,8368,760.7
966,11,8535,775.9
967,11,6456,586.9
968,10,5653,565.3
969,9,5358,595.3
970,9,5460,606.7
971,10,5646,564.6
972,11,6163,560.3
973,10,5661,566.1
974,12,6170,514.2
975,11,7928,720.7
976,11,5964,542.2
977,10,5850,585.0
978,11,5908,537.1
979,9,5595,621.7
980,9,5645,627.2
981,10,6041,604.1
982,10,6156,615.6
983,9,5580,620.0
984,8,5277,659.6
985,10,5690,569.0
986,8,5399,674.9
987,9,5644,627.1
988,9,5794,643.8
989,9,5837,648.6
990,9,5326,591.8
991,8,5422,677.8
992,10,5969,596.9
993,10,5854,585.4
994,12,6359,529.9
995,11,5979,543.5
996,11,5882,534.7
997,9,5125,569.4
998,11,6098,554.4
999,10,5940,594.0
1000,9,7576,841.8
1001,11,8194,744.9
1002,11,8245,749.5
1003,12,8301,691.8
1004,11,8257,750.6
1005,9,5735,637.2
1006,9,5776,641.8
1007,10,5951,595.1
1008,10,5853,585.3
1009,14,9193,656.6
