Frame,tube_count,total_peptides_in_tubes,avg_tube_size
940,1,51,51.0
941,0,0,0.0
942,0,0,0.0
943,0,0,0.0
944,0,0,0.0
945,3,188,62.7
946,2,140,70.0
947,0,0,0.0
948,1,80,80.0
949,1,105,105.0
950,0,0,0.0
951,0,0,0.0
952,1,90,90.0
953,1,95,95.0
954,1,105,105.0
955,1,77,77.0
956,2,141,70.5
957,1,55,55.0
958,3,203,67.7
959,4,259,64.8
960,0,0,0.0
961,2,175,87.5
962,2,167,83.5
963,0,0,0.0
964,1,556,556.0
965,2,122,61.0
966,2,212,106.0
967,0,0,0.0
968,1,98,98.0
969,2,173,86.5
970,0,0,0.0
971,0,0,0.0
972,2,144,72.0
973,2,175,87.5
974,0,0,0.0
975,0,0,0.0
976,0,0,0.0
977,1,217,217.0
978,1,193,193.0
979,0,0,0.0
980,1,77,77.0
981,1,266,266.0
982,3,239,79.7
983,1,56,56.0
984,1,62,62.0
985,1,63,63.0
986,2,134,67.0
987,1,56,56.0
988,2,125,62.5
989,2,136,68.0
990,4,375,93.8
991,0,0,0.0
992,2,144,72.0
993,1,70,70.0
994,0,0,0.0
995,0,0,0.0
996,0,0,0.0
997,1,87,87.0
998,1,105,105.0
999,1,105,105.0
1000,2,187,93.5
1001,2,160,80.0
1002,4,266,66.5
1003,4,385,96.2
1004,1,59,59.0
1005,0,0,0.0
1006,1,182,182.0
1007,3,254,84.7
1008,0,0,0.0
1009,1,168,168.0
1010,2,147,73.5
1011,2,168,84.0
1012,1,56,56.0
1013,1,72,72.0
1014,2,189,94.5
1015,0,0,0.0
1016,2,110,55.0
1017,3,187,62.3
1018,4,330,82.5
1019,0,0,0.0
1020,2,127,63.5
1021,0,0,0.0
1022,5,462,92.4
1023,2,126,63.0
1024,0,0,0.0
1025,0,0,0.0
1026,1,63,63.0
1027,1,70,70.0
1028,0,0,0.0
1029,3,217,72.3
1030,1,50,50.0
1031,1,171,171.0
1032,1,57,57.0
1033,1,154,154.0
1034,0,0,0.0
1035,0,0,0.0
1036,2,146,73.0
1037,4,293,73.2
1038,0,0,0.0
1039,0,0,0.0
1040,0,0,0.0
1041,1,56,56.0
1042,2,147,73.5
1043,1,63,63.0
1044,1,56,56.0
1045,1,56,56.0
1046,1,59,59.0
1047,0,0,0.0
1048,1,69,69.0
1049,1,119,119.0
1050,0,0,0.0
1051,1,56,56.0
1052,1,77,77.0
1053,2,135,67.5
1054,1,63,63.0
1055,2,154,77.0
1056,2,182,91.0
1057,2,161,80.5
1058,1,84,84.0
1059,0,0,0.0
1060,0,0,0.0
1061,1,70,70.0
1062,2,126,63.0
1063,1,55,55.0
1064,1,56,56.0
1065,1,56,56.0
1066,1,84,84.0
1067,2,112,56.0
1068,0,0,0.0
1069,1,98,98.0
1070,0,0,0.0
1071,3,187,62.3
1072,2,107,53.5
1073,0,0,0.0
1074,1,56,56.0
1075,0,0,0.0
1076,2,154,77.0
1077,3,210,70.0
1078,0,0,0.0
1079,0,0,0.0
1080,0,0,0.0
1081,1,56,56.0
1082,1,84,84.0
1083,1,56,56.0
1084,1,56,56.0
1085,1,56,56.0
1086,0,0,0.0
1087,0,0,0.0
1088,2,213,106.5
1089,0,0,0.0
1090,1,98,98.0
1091,0,0,0.0
1092,0,0,0.0
1093,0,0,0.0
1094,0,0,0.0
1095,2,203,101.5
1096,2,110,55.0
1097,1,70,70.0
1098,2,137,68.5
1099,0,0,0.0
1100,0,0,0.0
1101,0,0,0.0
1102,1,63,63.0
1103,1,129,129.0
1104,2,133,66.5
1105,2,147,73.5
1106,0,0,0.0
1107,1,63,63.0
1108,1,77,77.0
1109,2,126,63.0
1110,1,86,86.0
1111,2,147,73.5
1112,0,0,0.0
1113,2,121,60.5
1114,2,128,64.0
1115,0,0,0.0
1116,2,116,58.0
1117,2,109,54.5
1118,0,0,0.0
1119,0,0,0.0
1120,3,182,60.7
1121,3,229,76.3
1122,3,203,67.7
1123,1,91,91.0
1124,0,0,0.0
1125,1,64,64.0
1126,1,63,63.0
1127,0,0,0.0
1128,2,182,91.0
1129,3,279,93.0
1130,1,56,56.0
1131,3,163,54.3
1132,0,0,0.0
1133,1,157,157.0
1134,1,84,84.0
1135,2,184,92.0
1136,2,163,81.5
1137,2,493,246.5
1138,0,0,0.0
1139,2,169,84.5
1140,0,0,0.0
1141,0,0,0.0
1142,2,189,94.5
1143,0,0,0.0
1144,1,70,70.0
1145,1,91,91.0
1146,0,0,0.0
1147,1,96,96.0
1148,2,119,59.5
1149,2,220,110.0
1150,0,0,0.0
1151,0,0,0.0
1152,1,54,54.0
1153,1,63,63.0
1154,0,0,0.0
1155,0,0,0.0
1156,1,70,70.0
1157,1,54,54.0
1158,0,0,0.0
1159,1,63,63.0
1160,0,0,0.0
1161,2,133,66.5
1162,1,56,56.0
1163,4,248,62.0
1164,0,0,0.0
1165,0,0,0.0
1166,3,265,88.3
1167,1,55,55.0
1168,1,56,56.0
1169,1,63,63.0
1170,1,72,72.0
1171,0,0,0.0
1172,1,56,56.0
1173,1,85,85.0
1174,0,0,0.0
1175,1,56,56.0
1176,3,204,68.0
1177,0,0,0.0
1178,2,230,115.0
1179,0,0,0.0
1180,2,170,85.0
1181,0,0,0.0
1182,1,63,63.0
1183,3,208,69.3
1184,1,70,70.0
1185,1,78,78.0
1186,1,77,77.0
1187,1,56,56.0
1188,0,0,0.0
1189,1,56,56.0
1190,2,133,66.5
1191,0,0,0.0
1192,0,0,0.0
1193,1,56,56.0
1194,0,0,0.0
1195,0,0,0.0
1196,2,129,64.5
1197,5,308,61.6
1198,2,119,59.5
1199,0,0,0.0
1200,0,0,0.0
1201,0,0,0.0
1202,0,0,0.0
1203,2,148,74.0
1204,2,126,63.0
1205,1,91,91.0
1206,1,68,68.0
1207,0,0,0.0
1208,1,56,56.0
1209,1,161,161.0
1210,0,0,0.0
1211,0,0,0.0
1212,0,0,0.0
1213,0,0,0.0
1214,1,105,105.0
1215,0,0,0.0
1216,0,0,0.0
1217,1,56,56.0
1218,0,0,0.0
1219,0,0,0.0
1220,2,170,85.0
1221,1,321,321.0
1222,2,117,58.5
1223,0,0,0.0
1224,3,504,168.0
1225,1,336,336.0
1226,1,52,52.0
1227,0,0,0.0
1228,2,193,96.5
1229,2,121,60.5
1230,1,89,89.0
1231,1,67,67.0
1232,1,77,77.0
1233,2,182,91.0
1234,0,0,0.0
1235,4,357,89.2
1236,2,133,66.5
1237,1,63,63.0
1238,1,63,63.0
1239,1,56,56.0
1240,1,64,64.0
1241,1,55,55.0
1242,1,84,84.0
1243,0,0,0.0
1244,0,0,0.0
1245,0,0,0.0
1246,0,0,0.0
1247,3,345,115.0
1248,3,329,109.7
1249,1,63,63.0
1250,1,58,58.0
1251,2,322,161.0
1252,0,0,0.0
1253,1,147,147.0
1254,0,0,0.0
1255,2,145,72.5
1256,2,168,84.0
1257,0,0,0.0
1258,3,244,81.3
1259,2,115,57.5
1260,0,0,0.0
1261,1,60,60.0
1262,2,121,60.5
1263,1,91,91.0
1264,1,57,57.0
1265,3,673,224.3
1266,1,54,54.0
1267,1,70,70.0
1268,1,56,56.0
1269,1,105,105.0
1270,2,224,112.0
1271,1,63,63.0
1272,1,70,70.0
1273,2,142,71.0
1274,0,0,0.0
1275,2,121,60.5
1276,0,0,0.0
1277,2,483,241.5
1278,2,126,63.0
1279,0,0,0.0
1280,0,0,0.0
1281,2,210,105.0
1282,2,227,113.5
1283,0,0,0.0
1284,0,0,0.0
1285,0,0,0.0
1286,0,0,0.0
1287,2,165,82.5
1288,0,0,0.0
1289,0,0,0.0
1290,0,0,0.0
1291,0,0,0.0
1292,2,139,69.5
1293,0,0,0.0
1294,0,0,0.0
1295,0,0,0.0
1296,0,0,0.0
1297,1,56,56.0
1298,2,140,70.0
1299,1,224,224.0
1300,0,0,0.0
1301,3,192,64.0
1302,2,124,62.0
1303,0,0,0.0
1304,1,63,63.0
1305,0,0,0.0
1306,2,137,68.5
1307,6,469,78.2
1308,0,0,0.0
1309,1,70,70.0
1310,0,0,0.0
1311,1,77,77.0
1312,0,0,0.0
1313,2,119,59.5
1314,2,136,68.0
1315,0,0,0.0
1316,0,0,0.0
1317,1,91,91.0
1318,2,229,114.5
1319,0,0,0.0
1320,1,168,168.0
1321,3,201,67.0
1322,1,69,69.0
1323,1,65,65.0
1324,0,0,0.0
1325,2,170,85.0
1326,0,0,0.0
1327,3,383,127.7
1328,0,0,0.0
1329,0,0,0.0
1330,3,200,66.7
1331,2,195,97.5
1332,0,0,0.0
1333,1,84,84.0
1334,3,311,103.7
1335,0,0,0.0
1336,2,221,110.5
1337,0,0,0.0
1338,1,70,70.0
1339,0,0,0.0
1340,1,119,119.0
1341,3,215,71.7
1342,1,50,50.0
1343,1,69,69.0
1344,0,0,0.0
1345,2,128,64.0
1346,0,0,0.0
