Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1639,35,3411,97.5
1640,30,2482,82.7
1641,28,2646,94.5
1642,33,2895,87.7
1643,41,3252,79.3
1644,36,3024,84.0
1645,46,3246,70.6
1646,42,3118,74.2
1647,42,2652,63.1
1648,44,3239,73.6
1649,40,3187,79.7
1650,36,2910,80.8
1651,45,3302,73.4
1652,41,2872,70.0
1653,46,2928,63.7
1654,42,3104,73.9
1655,40,3015,75.4
1656,43,3365,78.3
1657,38,2994,78.8
1658,40,3278,82.0
1659,45,3239,72.0
1660,43,3147,73.2
1661,51,3836,75.2
1662,46,3307,71.9
1663,47,3431,73.0
1664,55,3712,67.5
