Frame,shape,pathway
9651,sheet,sheet-only
9652,sheet,sheet-only
9653,sheet,sheet-only
9654,sheet,sheet-only
9655,sheet,sheet-only
9656,sheet,sheet-only
9657,sheet,sheet-only
9658,sheet,sheet-only
9659,sheet,sheet->vesicle
9660,sheet,sheet->vesicle
9661,sheet,sheet-only
9662,sheet,sheet-only
9663,sheet,sheet-only
9664,fiber,fiber-only
9665,sheet,sheet-only
9666,sheet,sheet-only
9667,sheet,sheet-only
9668,sheet,sheet-only
9669,sheet,sheet-only
9670,sheet,sheet-only
9671,sheet,sheet-only
9672,sheet,sheet-only
9673,sheet,sheet-only
9674,sheet,sheet-only
9675,sheet,sheet-only
9676,sheet,sheet-only
9677,sheet,sheet-only
9678,sheet,sheet-only
9679,sheet,sheet-only
9680,sheet,sheet-only
9681,sheet,sheet-only
9682,sheet,sheet-only
9683,sheet,sheet-only
9684,sheet,sheet-only
9685,sheet,sheet-only
9686,sheet,sheet-only
9687,sheet,sheet-only
9688,sheet,sheet-only
9689,sheet,sheet-only
9690,sheet,sheet-only
9691,sheet,sheet-only
9692,sheet,sheet-only
9693,sheet,sheet-only
9694,sheet,sheet-only
9695,sheet,sheet-only
9696,sheet,sheet-only
9697,sheet,sheet-only
9698,sheet,sheet-only
9699,sheet,sheet-only
9700,sheet,sheet-only
9701,sheet,sheet-only
9702,sheet,sheet-only
9703,sheet,sheet-only
9704,sheet,sheet-only
9705,sheet,sheet-only
9706,sheet,sheet-only
9707,sheet,sheet-only
9708,sheet,sheet-only
9709,sheet,sheet-only
9710,sheet,sheet-only
9711,sheet,sheet-only
9712,sheet,sheet-only
9713,sheet,sheet-only
9714,sheet,sheet-only
9715,sheet,sheet-only
9716,sheet,sheet-only
9717,sheet,sheet-only
9718,sheet,sheet-only
9719,sheet,sheet-only
9720,sheet,sheet->vesicle
9721,sheet,sheet-only
9722,sheet,sheet->vesicle
9723,sheet,sheet-only
9724,sheet,sheet-only
9725,sheet,sheet-only
9726,sheet,sheet-only
9727,sheet,sheet-only
9728,sheet,sheet->vesicle
9729,sheet,sheet->vesicle
9730,sheet,sheet->vesicle
9731,sheet,sheet-only
9732,sheet,sheet->vesicle
9733,sheet,sheet-only
9734,sheet,sheet->vesicle
9735,sheet,sheet-only
9736,sheet,sheet-only
9737,sheet,sheet-only
9738,sheet,sheet-only
9739,sheet,sheet->vesicle
9740,sheet,sheet-only
9741,sheet,sheet->vesicle
9742,sheet,sheet->vesicle
9743,sheet,sheet->vesicle
9744,sheet,sheet->vesicle
9745,sheet,sheet->vesicle
9746,sheet,sheet->vesicle
